Name,Tier,rare,elite,eliteonly,ilvlreq to spawn,affix type,plvlreq,maxlevel,frequency,group,mod1code,mod1min,mod1max,mod2code,mod2min,mod2max,mod3code,mod3min,mod3max,variance,itype1,itype2,itype3,itype4,itype5,itype6,itype7,etype1,etype2,etype3,etype4,etype5
Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,5,prefix,,,10,1,acc,1,2,,,,,,,,Weapon,Jewelry,Chest,,,,,,,,,
,2,1,1,0,15,prefix,,,9,1,acc,3,4,,,,,,,,Weapon,Jewelry,Chest,,,,,,,,,
,3,1,1,0,28,prefix,,,8,1,acc,5,6,,,,,,,,Weapon,Jewelry,Chest,,,,,,,,,
,4,1,1,0,46,prefix,,,7,1,acc,7,8,,,,,,,,Weapon,Jewelry,Chest,,,,,,,,,
,5,1,0,0,68,prefix,,,6,1,acc,9,10,,,,,,,,Weapon,Jewelry,,,,,,,,,,
,6,0,0,0,68,prefix,,,5,1,acc,11,15,,,,,,,,Weapon,,,,,,,,,,,
Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,prefix,,,10,2,str,1,3,,,,,,,,Jewelry,,,,,,,,,,,
,2,1,1,0,6,prefix,,,9,2,str,4,7,,,,,,,,Jewelry,,,,,,,,,,,
,3,1,1,0,20,prefix,,,8,2,str,8,11,,,,,,,,Jewelry,,,,,,,,,,,
,4,1,1,0,40,prefix,,,7,2,str,12,15,,,,,,,,Jewelry,,,,,,,,,,,
,5,1,0,0,73,prefix,,,6,2,str,16,20,,,,,,,,Jewelry,,,,,,,,,,,
,6,0,0,0,88,prefix,,,5,2,str,21,25,,,,,,,,Jewelry,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,prefix,,,10,2,str,1,3,,,,,,,,Melee Weapon,,,,,,,,,,,
